step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
2000,0,50,0.0,0.0,0.07135003417431873,413.98580384254456
4000,0,50,0.0,0.0,0.07135003417431873,376.7324080467224
6000,0,50,0.0,0.0,0.07135003417431873,615.5200657844543
8000,11,50,0.22,0.12753786224302288,0.35241815689459555,514.9950008392334
10000,15,50,0.3,0.1910338908960936,0.4375061227736339,500.6874940395355
12000,14,50,0.28,0.17474014357680362,0.4166538714598967,596.5962898731232
14000,8,50,0.16,0.08337321362087696,0.2851448096176598,600.456974029541
16000,23,50,0.46,0.3296943460178263,0.5960136567161192,477.21103525161743
18000,24,50,0.48,0.3479691239550571,0.6148848774119157,431.44334411621094
20000,35,50,0.7,0.562493877226366,0.8089661091039063,343.97987508773804
22000,37,50,0.74,0.6044657801100008,0.8412862034863262,334.30930399894714
24000,35,50,0.7,0.562493877226366,0.8089661091039063,344.52560925483704
26000,41,50,0.82,0.6920368054529739,0.902299172675462,314.39616107940674
28000,45,50,0.9,0.7863950966521162,0.956524876008429,265.76092195510864
30000,43,50,0.86,0.738135428014719,0.9304925473797714,297.77215003967285
32000,44,50,0.88,0.7619492111337642,0.9438247628937535,284.8037450313568
34000,43,50,0.86,0.738135428014719,0.9304925473797714,291.21329522132874
36000,46,50,0.92,0.8116149745493629,0.9684509967442093,263.6906633377075
38000,46,50,0.92,0.8116149745493629,0.9684509967442093,261.65431904792786
40000,50,50,1.0,0.9286499658256813,1.0,235.1939091682434
