source_k,success_rate,ci95_low,ci95_high,n
30,0.85,0.7671626666784216,0.906940968088377,100
50,0.8,0.7111690380734977,0.8666340774409013,100
70,0.82,0.7333246397578691,0.8829986834574896,100
20,0.87,0.7901947810519012,0.9224290614158575,100
40,0.9,0.8256326956323347,0.9447714583868639,100
60,0.81,0.7222097592919214,0.8748534600729574,100
80,0.78,0.6892946528499969,0.849988254963442,100
8,0.82,0.7333246397578691,0.8829986834574896,100
4,0.36,0.2727107459049014,0.45764780018837914,100
2,0.15,0.09305903191162297,0.23283733332157835,100
