source_k,success_rate,ci95_low,ci95_high,n
10,0.012,0.0055109199671753584,0.025930707718986326,500
15,0.022,0.01232788016714588,0.03896125514839773,500
20,0.058,0.040683464783922846,0.08205669799739573,500
5,0.01,0.0027466006037749346,0.03572248519617954,200
40,0.75,0.6856577652038048,0.8049192318370347,200
45,0.81,0.7499864142552062,0.8583290620754351,200
50,0.835,0.7773410172613647,0.8800321587733603,200
55,0.815,0.7554281794988185,0.8626988367726394,200
60,0.795,0.7337418048192546,0.8451390516889363,200
65,0.79,0.7283526118460081,0.8407167047213658,200
70,0.79,0.7283526118460081,0.8407167047213658,200
75,0.81,0.7499864142552062,0.8583290620754351,200
80,0.785,0.7229757022632792,0.836282074363278,200
85,0.815,0.7554281794988185,0.8626988367726394,200
90,0.77,0.7069157192180299,0.8229074375860769,200
95,0.775,0.7122575346140798,0.8273771621308439,200
100,0.76,0.69626534544272,0.8139347314797533,200
25,0.505,0.4362687594824017,0.5735427804584151,200
30,0.69,0.622826945087378,0.75001157266366,200
35,0.735,0.6698229773344888,0.7913193998839003,200
