step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
40000,6,50,0.12,0.05617523710624646,0.23805078886623582,545.9897298812866
38000,6,50,0.12,0.05617523710624646,0.23805078886623582,560.6335430145264
36000,15,50,0.3,0.1910338908960936,0.4375061227736339,529.967964887619
34000,0,50,0.0,0.0,0.07135003417431873,575.605819940567
32000,17,50,0.34,0.2243676963506106,0.47846431458517147,523.6789908409119
30000,28,50,0.56,0.4230578680014353,0.6883801278976466,471.44126415252686
28000,9,50,0.18,0.0977008273245379,0.3079631945470261,555.1952030658722
26000,9,50,0.18,0.0977008273245379,0.3079631945470261,537.9639270305634
16000,0,50,0.0,0.0,0.07135003417431873,634.7963919639587
14000,0,50,0.0,0.0,0.07135003417431873,612.5757210254669
12000,11,50,0.22,0.12753786224302288,0.35241815689459555,538.1368639469147
10000,0,50,0.0,0.0,0.07135003417431873,582.278412103653
8000,0,50,0.0,0.0,0.07135003417431873,631.8403997421265
6000,0,50,0.0,0.0,0.07135003417431873,620.0886383056641
4000,0,50,0.0,0.0,0.07135003417431873,566.8173580169678
2000,0,50,0.0,0.0,0.07135003417431873,610.179032087326
50000,23,50,0.46,0.3296943460178263,0.5960136567161192,713.848639011383
18000,19,50,0.38,0.2586259584257722,0.5184980497760643,759.2426571846008
20000,0,50,0.0,0.0,0.07135003417431873,850.6100590229034
22000,6,50,0.12,0.05617523710624646,0.23805078886623582,834.47900223732
24000,24,50,0.48,0.3479691239550571,0.6148848774119157,712.6839368343353
42000,0,50,0.0,0.0,0.07135003417431873,786.3363206386566
44000,19,50,0.38,0.2586259584257722,0.5184980497760643,690.8409061431885
46000,24,50,0.48,0.3479691239550571,0.6148848774119157,679.8103041648865
48000,17,50,0.34,0.2243676963506106,0.47846431458517147,671.4309921264648
54000,33,50,0.66,0.5215356854148285,0.7756323036493895,653.9849488735199
58000,28,50,0.56,0.4230578680014353,0.6883801278976466,722.8856360912323
62000,14,50,0.28,0.17474014357680362,0.4166538714598967,723.8818337917328
66000,18,50,0.36,0.24138562967182875,0.49859237989698046,757.0191369056702
70000,26,50,0.52,0.3851151225880844,0.6520308760449429,700.6816997528076
74000,17,50,0.34,0.2243676963506106,0.47846431458517147,694.3615338802338
78000,32,50,0.64,0.5014076201030195,0.7586143703281711,645.2977850437164
80000,10,50,0.2,0.11243629945973886,0.3303737210448524,752.0711851119995
