source_k,success_rate,ci95_low,ci95_high,n
15,0.004,0.0010976075412372681,0.014466014041418871,500
20,0.004,0.0010976075412372681,0.014466014041418871,500
5,0.0,0.0,0.018846005918320894,200
10,0.0,0.0,0.018846005918320894,200
25,0.005,0.0008831459893662054,0.02777439986977148,200
30,0.16,0.11567342208544587,0.2171418619390124,200
40,0.685,0.617649158589664,0.7453778192205573,200
45,0.755,0.6909563161285153,0.809432220853141,200
50,0.77,0.7069157192180299,0.8229074375860769,200
55,0.79,0.7283526118460081,0.8407167047213658,200
65,0.785,0.7229757022632792,0.836282074363278,200
70,0.765,0.7015850701327535,0.8184265467305365,200
75,0.7,0.6332080400667355,0.759253557565936,200
80,0.775,0.7122575346140798,0.8273771621308439,200
85,0.77,0.7069157192180299,0.8229074375860769,200
90,0.74,0.6750912860870691,0.795862631072137,200
95,0.7,0.6332080400667355,0.759253557565936,200
100,0.735,0.6698229773344888,0.7913193998839003,200
35,0.485,0.4166726249238525,0.5538927552536972,200
60,0.745,0.6803694869280502,0.8003959701719726,200
