step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
40000,49,100,0.49,0.3942183009238615,0.5865215952256586,1128.4930291175842
38000,68,100,0.68,0.5833719774632081,0.7633098918454312,908.2656419277191
36000,58,100,0.58,0.4820630799889527,0.672017750814887,991.0123181343079
34000,69,100,0.69,0.5937376052204429,0.7722043679386762,920.2806551456451
32000,60,100,0.6,0.5020007846184025,0.6906002538863971,983.5784549713135
30000,44,100,0.44,0.34671865400968327,0.537720722887437,1164.8071150779724
28000,68,100,0.68,0.5833719774632081,0.7633098918454312,1000.8594613075256
26000,40,100,0.4,0.3093997461136028,0.4979992153815976,1282.7053408622742
24000,39,100,0.39,0.300167219319702,0.48797163832501844,1339.9326539039612
22000,57,100,0.57,0.4721521169586435,0.6626686099947162,1195.9045712947845
20000,18,100,0.18,0.11700131654251038,0.26667536024213084,1727.9433817863464
18000,19,100,0.19,0.1251465399270426,0.27779024070807856,1770.418398141861
16000,22,100,0.22,0.15001174503655804,0.3107053471500031,1563.4685337543488
14000,22,100,0.22,0.15001174503655804,0.3107053471500031,1497.8500890731812
12000,18,100,0.18,0.11700131654251038,0.26667536024213084,1547.078411102295
10000,2,100,0.02,0.005501852234968185,0.07001316294199365,1744.741063117981
8000,0,100,0.0,0.0,0.03699480747600191,1723.2334671020508
6000,0,100,0.0,0.0,0.03699480747600191,1720.3321280479431
4000,0,100,0.0,0.0,0.03699480747600191,1744.8405349254608
2000,0,100,0.0,0.0,0.03699480747600191,1708.2335238456726
