step,n_success,n,success_rate,ci95_low,ci95_high,t_success_median,elapsed_sec
200,0,50,0.0,0.0,0.07135003417431873,,593.562096118927
400,0,50,0.0,0.0,0.07135003417431873,,595.1919412612915
600,0,50,0.0,0.0,0.07135003417431873,,598.6060953140259
800,0,50,0.0,0.0,0.07135003417431873,,592.6336681842804
1000,0,50,0.0,0.0,0.07135003417431873,,593.8727312088013
1200,0,50,0.0,0.0,0.07135003417431873,,593.7856500148773
1400,0,50,0.0,0.0,0.07135003417431873,,598.3382720947266
1600,0,50,0.0,0.0,0.07135003417431873,,604.9430639743805
1800,0,50,0.0,0.0,0.07135003417431873,,598.5457448959351
2000,0,50,0.0,0.0,0.07135003417431873,,596.680153131485
2200,0,50,0.0,0.0,0.07135003417431873,,599.4882400035858
2400,0,50,0.0,0.0,0.07135003417431873,,596.7258629798889
2600,0,50,0.0,0.0,0.07135003417431873,,601.3804869651794
2800,0,50,0.0,0.0,0.07135003417431873,,599.7500841617584
3000,1,50,0.02,0.0035391680889764604,0.10495686471836953,152.0,591.5115749835968
3200,0,50,0.0,0.0,0.07135003417431873,,598.4730281829834
3400,1,50,0.02,0.0035391680889764604,0.10495686471836953,122.0,592.2620799541473
3600,0,50,0.0,0.0,0.07135003417431873,,599.3532299995422
3800,5,50,0.1,0.04347512399157111,0.2136049033478839,122.0,559.7813220024109
4000,0,50,0.0,0.0,0.07135003417431873,,607.7225630283356
4200,3,50,0.06,0.020614596364630478,0.16217343370877002,186.0,585.0396559238434
4400,2,50,0.04,0.011038652660826577,0.13460337877954667,126.5,587.2719841003418
4600,4,50,0.08,0.031549003255790686,0.18838502545063704,116.5,572.7529618740082
4800,0,50,0.0,0.0,0.07135003417431873,,598.4885020256042
5000,1,50,0.02,0.0035391680889764604,0.10495686471836953,127.0,592.0697038173676
5200,7,50,0.14,0.06950745262022862,0.2618645719852809,123.0,554.1902866363525
5400,5,50,0.1,0.04347512399157111,0.2136049033478839,114.0,559.4357950687408
5600,3,50,0.06,0.020614596364630478,0.16217343370877002,118.0,582.026074886322
5800,15,50,0.3,0.1910338908960936,0.4375061227736339,117.0,498.88124418258667
6000,9,50,0.18,0.0977008273245379,0.3079631945470261,113.0,534.2189161777496
