step,rep,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
5000,0,1,50,0.02,0.0035391680889764604,0.10495686471836953,595.4075057506561
5000,1,1,50,0.02,0.0035391680889764604,0.10495686471836953,593.4144010543823
5000,2,1,50,0.02,0.0035391680889764604,0.10495686471836953,593.2253620624542
5000,3,2,50,0.04,0.011038652660826577,0.13460337877954667,585.2425169944763
5000,4,1,50,0.02,0.0035391680889764604,0.10495686471836953,594.7110388278961
10000,0,13,50,0.26,0.15871379651367384,0.3955342198899992,506.5532479286194
10000,1,14,50,0.28,0.17474014357680362,0.4166538714598967,495.33992981910706
10000,2,18,50,0.36,0.24138562967182875,0.49859237989698046,470.75685811042786
10000,3,11,50,0.22,0.12753786224302288,0.35241815689459555,522.4265718460083
10000,4,12,50,0.24,0.14297252401872207,0.3741294937519236,515.2436459064484
15000,0,36,50,0.72,0.5833461285401034,0.8252598564231963,341.21886682510376
15000,1,33,50,0.66,0.5215356854148285,0.7756323036493895,369.125657081604
15000,2,37,50,0.74,0.6044657801100008,0.8412862034863262,334.4004077911377
15000,3,39,50,0.78,0.6475818431054045,0.8724621377569771,318.49607133865356
15000,4,36,50,0.72,0.5833461285401034,0.8252598564231963,342.68560814857483
20000,0,46,50,0.92,0.8116149745493629,0.9684509967442093,256.8541729450226
20000,1,42,50,0.84,0.7148551903823401,0.9166267863791231,290.2462430000305
20000,2,44,50,0.88,0.7619492111337642,0.9438247628937535,276.025021314621
20000,3,45,50,0.9,0.7863950966521162,0.956524876008429,266.83098888397217
20000,4,46,50,0.92,0.8116149745493629,0.9684509967442093,266.2532968521118
30000,0,46,50,0.92,0.8116149745493629,0.9684509967442093,254.34405088424683
30000,1,44,50,0.88,0.7619492111337642,0.9438247628937535,278.07367491722107
30000,2,47,50,0.94,0.8378265662912299,0.9793854036353695,238.57014513015747
30000,3,47,50,0.94,0.8378265662912299,0.9793854036353695,244.74198722839355
30000,4,49,50,0.98,0.8950431352816304,0.9964608319110235,225.83043885231018
