step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
1000,0,500,0.0,0.0,0.007624618530903363,170.59276700019836
2000,0,500,0.0,0.0,0.007624618530903363,170.70806527137756
3000,0,500,0.0,0.0,0.007624618530903363,171.10396671295166
4000,0,500,0.0,0.0,0.007624618530903363,170.6366467475891
5000,0,500,0.0,0.0,0.007624618530903363,171.33586645126343
6000,0,500,0.0,0.0,0.007624618530903363,172.99859189987183
7000,0,500,0.0,0.0,0.007624618530903363,170.8299424648285
8000,3,500,0.006,0.002042559297638913,0.017490563810893606,170.82693791389465
9000,2,500,0.004,0.0010976075412372681,0.014466014041418871,170.39096117019653
10000,1,500,0.002,0.000353127309584542,0.011240992747195207,170.88935446739197
11000,10,500,0.02,0.010899065235569357,0.03642056855409787,170.08309984207153
12000,7,500,0.014,0.006797703071787358,0.02861342614025071,171.6399781703949
13000,10,500,0.02,0.010899065235569357,0.03642056855409787,172.7641146183014
14000,8,500,0.016,0.008129155320203278,0.03125147541771118,170.70085549354553
15000,1,500,0.002,0.000353127309584542,0.011240992747195207,172.17659330368042
16000,2,500,0.004,0.0010976075412372681,0.014466014041418871,170.01109385490417
17000,6,500,0.012,0.0055109199671753584,0.025930707718986326,171.25926661491394
18000,3,500,0.006,0.002042559297638913,0.017490563810893606,170.01214146614075
19000,10,500,0.02,0.010899065235569357,0.03642056855409787,169.08812069892883
20000,8,500,0.016,0.008129155320203278,0.03125147541771118,169.82732772827148
