step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
82000,340,500,0.68,0.6378721940483771,0.7193829432804977,132.03412652015686
83000,277,500,0.554,0.5101821562121956,0.5969943849864668,141.95973229408264
84000,353,500,0.706,0.6646164747606613,0.7442421824046064,132.25997686386108
85000,349,500,0.698,0.6563715243917267,0.7366091266700354,128.2981915473938
86000,382,500,0.764,0.7248548911970089,0.7991193102186741,124.08946061134338
87000,343,500,0.686,0.6440308091059584,0.7251328328005456,127.26851963996887
88000,349,500,0.698,0.6563715243917267,0.7366091266700354,130.2876422405243
89000,266,500,0.532,0.48818530469160204,0.5753267197224201,141.02848362922668
90000,310,500,0.62,0.5766916822967054,0.6614784092558779,138.83076763153076
91000,339,500,0.678,0.6358210325113282,0.7174646032916704,131.22628021240234
92000,275,500,0.55,0.5061764115934799,0.5930611265534298,139.3027002811432
93000,280,500,0.56,0.5161960663856535,0.6028889793906382,138.60716438293457
94000,324,500,0.648,0.6051532346640738,0.6885898782507789,134.03419971466064
95000,291,500,0.582,0.5383018478283397,0.6244477147325922,142.41953086853027
96000,339,500,0.678,0.6358210325113282,0.7174646032916704,130.97954654693604
97000,324,500,0.648,0.6051532346640738,0.6885898782507789,132.26620984077454
98000,235,500,0.47,0.4266472654581187,0.5138102116537354,146.46187782287598
99000,324,500,0.648,0.6051532346640738,0.6885898782507789,130.87175583839417
100000,350,500,0.7,0.6584314090816449,0.7385187435059938,126.55402970314026
101000,349,500,0.698,0.6563715243917267,0.7366091266700354,129.22571802139282
102000,325,500,0.65,0.6071920689703412,0.6905205454703878,131.4766800403595
103000,321,500,0.642,0.5990414871027679,0.6827931212344555,132.41449332237244
104000,324,500,0.648,0.6051532346640738,0.6885898782507789,131.7329556941986
105000,316,500,0.632,0.5888709172413829,0.6731161834664587,133.98119807243347
106000,346,500,0.692,0.6501972113746908,0.7308749351094421,132.76056909561157
107000,324,500,0.648,0.6051532346640738,0.6885898782507789,132.7302281856537
108000,380,500,0.76,0.7206724477826185,0.7953627505813117,123.45913887023926
109000,273,500,0.546,0.5021734817218153,0.5891250533733416,141.022230386734
110000,338,500,0.676,0.6337707190597581,0.7155454152173639,128.4572958946228
111000,329,500,0.658,0.6153554148443917,0.698235205699843,130.2044539451599
112000,338,500,0.676,0.6337707190597581,0.7155454152173639,132.14377212524414
113000,354,500,0.708,0.6666799846544007,0.7461481740367435,129.32606744766235
114000,330,500,0.66,0.617398269756609,0.7001618523135019,130.6896767616272
115000,351,500,0.702,0.6604921922645164,0.7404274618489985,126.80518054962158
116000,300,500,0.6,0.5564533144716549,0.6420217618221643,135.7855405807495
117000,354,500,0.708,0.6666799846544007,0.7461481740367435,126.43564009666443
118000,348,500,0.696,0.6543125331560312,0.7346986163798547,126.36479091644287
119000,346,500,0.692,0.6501972113746908,0.7308749351094421,130.37165546417236
120000,343,500,0.686,0.6440308091059584,0.7251328328005456,130.76761484146118
121000,326,500,0.652,0.6092317009492663,0.6924504150173392,136.30530953407288
122000,334,500,0.668,0.6255778658042676,0.707860262369349,134.4130311012268
123000,305,500,0.61,0.566563167828306,0.6517594160948953,137.06972336769104
124000,329,500,0.658,0.6153554148443917,0.698235205699843,132.3848054409027
125000,327,500,0.654,0.6112721337613813,0.6943794837311004,136.00517296791077
126000,314,500,0.628,0.5848081115127891,0.6692399861432997,137.3303165435791
127000,375,500,0.75,0.7102355648988187,0.7859521258357297,126.15846800804138
128000,326,500,0.652,0.6092317009492663,0.6924504150173392,135.08254027366638
129000,329,500,0.658,0.6153554148443917,0.698235205699843,131.24304628372192
130000,376,500,0.752,0.7123207803781036,0.787836411882321,126.12275910377502
131000,325,500,0.65,0.6071920689703412,0.6905205454703878,132.38690996170044
132000,343,500,0.686,0.6440308091059584,0.7251328328005456,128.75244760513306
133000,324,500,0.648,0.6051532346640738,0.6885898782507789,133.72967076301575
134000,345,500,0.69,0.6481408712280013,0.7289617737302553,133.47839546203613
135000,323,500,0.646,0.6031151949321183,0.6866584164568579,132.8193142414093
136000,296,500,0.592,0.5483787038455701,0.6342183663447436,141.42351913452148
137000,374,500,0.748,0.7081514126701541,0.7840667765385178,125.69828748703003
138000,350,500,0.7,0.6584314090816449,0.7385187435059938,126.36051392555237
139000,306,500,0.612,0.5685873695673256,0.6537047158817519,138.04359364509583
140000,350,500,0.7,0.6584314090816449,0.7385187435059938,129.9762966632843
141000,326,500,0.652,0.6092317009492663,0.6924504150173392,133.4027180671692
142000,355,500,0.71,0.6687444142064393,0.7480532460105812,127.39885997772217
143000,330,500,0.66,0.617398269756609,0.7001618523135019,135.08780765533447
144000,319,500,0.638,0.5949709219022378,0.6789246833832329,136.83598279953003
145000,317,500,0.634,0.5909034766847505,0.6750531255489673,132.3844769001007
146000,312,500,0.624,0.5807483730601202,0.6653607215442159,135.4866874217987
147000,310,500,0.62,0.5766916822967054,0.6614784092558779,132.1773407459259
148000,345,500,0.69,0.6481408712280013,0.7289617737302553,132.90000319480896
149000,338,500,0.676,0.6337707190597581,0.7155454152173639,134.1892228126526
150000,324,500,0.648,0.6051532346640738,0.6885898782507789,133.10877346992493
