step,val_loss,success_pct,ci95_low_pct,ci95_high_pct
4000,0.0938,0.0,0.0,0.8
6000,0.0783,0.0,0.0,0.8
7000,0.0739,0.0,0.0,0.8
8000,0.0697,0.6,0.2,1.7
9000,0.0710,0.4,0.1,1.4
11000,0.0666,2.0,1.1,3.6
12000,0.0661,1.4,0.7,2.9
13000,0.0621,2.0,1.1,3.6
14000,0.0633,1.6,0.8,3.1
16000,0.0586,0.4,0.1,1.4
17000,0.0608,1.2,0.6,2.6
18000,0.0599,0.6,0.2,1.7
19000,0.0588,2.0,1.1,3.6
21000,0.0576,3.0,1.8,4.9
22000,0.0581,0.6,0.2,1.7
23000,0.0562,4.4,2.9,6.6
24000,0.0549,8.2,6.1,10.9
25000,0.0571,19.0,15.8,22.7
26000,0.0556,24.4,20.8,28.4
27000,0.0579,29.2,25.4,33.3
28000,0.0540,35.0,30.9,39.3
29000,0.0561,31.8,27.9,36.0
30000,0.0525,41.4,37.2,45.8
31000,0.0528,41.2,37.0,45.6
32000,0.0560,29.0,25.2,33.1
33000,0.0538,58.2,53.8,62.4
34000,0.0505,51.2,46.8,55.6
35000,0.0538,46.2,41.9,50.6
36000,0.0549,59.6,55.2,63.8
37000,0.0562,55.2,50.8,59.5
38000,0.0557,19.4,16.2,23.1
39000,0.0558,48.8,44.4,53.2
40000,0.0529,62.4,58.1,66.5
41000,0.0543,58.2,53.8,62.4
42000,0.0540,45.2,40.9,49.6
43000,0.0543,49.4,45.0,53.8
44000,0.0531,50.6,46.2,55.0
45000,0.0547,56.4,52.0,60.7
46000,0.0532,74.0,70.0,77.7
47000,0.0539,60.6,56.3,64.8
48000,0.0546,63.4,59.1,67.5
49000,0.0547,38.6,34.4,42.9
50000,0.0552,58.6,54.2,62.8
51000,0.0556,67.8,63.6,71.7
52000,0.0542,70.0,65.8,73.9
53000,0.0552,59.0,54.6,63.2
54000,0.0539,59.4,55.0,63.6
55000,0.0540,67.2,63.0,71.2
56000,0.0573,72.2,68.1,75.9
58000,0.0586,63.8,59.5,67.9
59000,0.0571,53.0,48.6,57.3
60000,0.0577,71.2,67.1,75.0
61000,0.0573,57.2,52.8,61.5
62000,0.0591,66.0,61.7,70.0
63000,0.0576,69.8,65.6,73.7
64000,0.0561,69.2,65.0,73.1
65000,0.0579,52.6,48.2,56.9
66000,0.0582,55.4,51.0,59.7
67000,0.0582,64.4,60.1,68.5
68000,0.0581,59.8,55.4,64.0
69000,0.0580,70.4,66.3,74.2
70000,0.0593,61.0,56.7,65.2
71000,0.0575,68.2,64.0,72.1
72000,0.0625,69.2,65.0,73.1
73000,0.0601,63.0,58.7,67.1
74000,0.0591,67.6,63.4,71.6
75000,0.0577,72.2,68.1,75.9
76000,0.0593,61.0,56.7,65.2
77000,0.0585,65.6,61.3,69.6
78000,0.0630,65.2,60.9,69.2
79000,0.0632,61.6,57.3,65.8
80000,0.0607,64.8,60.5,68.9
82000,0.0637,68.0,63.8,71.9
83000,0.0641,55.4,51.0,59.7
84000,0.0636,70.6,66.5,74.4
85000,0.0654,69.8,65.6,73.7
86000,0.0640,76.4,72.5,79.9
87000,0.0647,68.6,64.4,72.5
88000,0.0659,69.8,65.6,73.7
89000,0.0653,53.2,48.8,57.5
90000,0.0645,62.0,57.7,66.1
91000,0.0655,67.8,63.6,71.7
92000,0.0673,55.0,50.6,59.3
93000,0.0659,56.0,51.6,60.3
94000,0.0689,64.8,60.5,68.9
95000,0.0705,58.2,53.8,62.4
96000,0.0656,67.8,63.6,71.7
97000,0.0694,64.8,60.5,68.9
98000,0.0726,47.0,42.7,51.4
99000,0.0732,64.8,60.5,68.9
100000,0.0701,70.0,65.8,73.9
101000,0.0729,69.8,65.6,73.7
102000,0.0705,65.0,60.7,69.1
103000,0.0779,64.2,59.9,68.3
104000,0.0709,64.8,60.5,68.9
105000,0.0730,63.2,58.9,67.3
106000,0.0759,69.2,65.0,73.1
107000,0.0722,64.8,60.5,68.9
108000,0.0743,76.0,72.1,79.5
109000,0.0803,54.6,50.2,58.9
110000,0.0784,67.6,63.4,71.6
111000,0.0789,65.8,61.5,69.8
112000,0.0755,67.6,63.4,71.6
113000,0.0758,70.8,66.7,74.6
114000,0.0756,66.0,61.7,70.0
115000,0.0777,70.2,66.0,74.0
116000,0.0775,60.0,55.6,64.2
117000,0.0778,70.8,66.7,74.6
118000,0.0818,69.6,65.4,73.5
119000,0.0800,69.2,65.0,73.1
120000,0.0797,68.6,64.4,72.5
121000,0.0790,65.2,60.9,69.2
122000,0.0874,66.8,62.6,70.8
123000,0.0814,61.0,56.7,65.2
124000,0.0812,65.8,61.5,69.8
125000,0.0773,65.4,61.1,69.4
126000,0.0853,62.8,58.5,66.9
127000,0.0841,75.0,71.0,78.6
128000,0.0866,65.2,60.9,69.2
129000,0.0852,65.8,61.5,69.8
130000,0.0852,75.2,71.2,78.8
131000,0.0904,65.0,60.7,69.1
132000,0.0866,68.6,64.4,72.5
133000,0.0869,64.8,60.5,68.9
134000,0.0931,69.0,64.8,72.9
135000,0.0900,64.6,60.3,68.7
136000,0.0924,59.2,54.8,63.4
137000,0.0878,74.8,70.8,78.4
138000,0.0920,70.0,65.8,73.9
139000,0.0920,61.2,56.9,65.4
140000,0.0913,70.0,65.8,73.9
141000,0.0924,65.2,60.9,69.2
142000,0.0949,71.0,66.9,74.8
143000,0.0938,66.0,61.7,70.0
144000,0.0909,63.8,59.5,67.9
145000,0.0947,63.4,59.1,67.5
146000,0.0964,62.4,58.1,66.5
147000,0.0945,62.0,57.7,66.1
148000,0.0993,69.0,64.8,72.9
149000,0.0953,67.6,63.4,71.6
150000,0.0968,64.8,60.5,68.9
