step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
21000,15,500,0.03,0.018263049234083534,0.04890409218496562,167.99582719802856
22000,3,500,0.006,0.002042559297638913,0.017490563810893606,170.4545497894287
23000,22,500,0.044,0.029233737680341678,0.06571991441984218,170.0166425704956
24000,41,500,0.082,0.06101875732494105,0.10935542376689417,168.348806142807
25000,95,500,0.19,0.15802683592828387,0.22670042756087622,159.42860293388367
26000,122,500,0.244,0.20839823999994375,0.2835055646878788,157.6369526386261
27000,146,500,0.292,0.25385182596325645,0.33332001534559935,154.15735530853271
28000,175,500,0.35,0.3094794545296122,0.3928079310296588,153.75138354301453
29000,159,500,0.318,0.2786995689688668,0.360075792176382,153.23823308944702
30000,207,500,0.414,0.37164184827781455,0.4576695861095008,142.14947843551636
31000,206,500,0.412,0.3696877164049981,0.4556542164564409,148.43005084991455
32000,145,500,0.29,0.2519467539894188,0.3312555857935606,154.0936403274536
33000,291,500,0.582,0.5383018478283397,0.6244477147325922,137.2364478111267
34000,256,500,0.512,0.4682614535997027,0.5555555555555556,140.71808123588562
35000,231,500,0.462,0.41875551183784954,0.5058239591704992,148.73401165008545
36000,298,500,0.596,0.5524145429626023,0.6381215302794642,135.30819606781006
37000,276,500,0.552,0.5081789316318008,0.5950281080409854,132.91507577896118
38000,97,500,0.194,0.16172591779703405,0.2309403487438788,160.36311650276184
39000,244,500,0.488,0.4444444444444444,0.5317385464002973,137.85130906105042
40000,312,500,0.624,0.5807483730601202,0.6653607215442159,129.416729927063
41000,291,500,0.582,0.5383018478283397,0.6244477147325922,136.2431676387787
42000,226,500,0.452,0.4089065586120002,0.49582540476696657,138.95734453201294
43000,247,500,0.494,0.4503893365060508,0.5377021589163201,137.01945877075195
44000,253,500,0.506,0.46229784108368,0.5496106634939493,142.3916311264038
45000,282,500,0.564,0.5202088800086124,0.6068151688194319,135.05950164794922
46000,370,500,0.74,0.6998252722118725,0.7765149108932938,126.73942804336548
47000,303,500,0.606,0.5625170013722456,0.6478665794992029,134.08026027679443
48000,317,500,0.634,0.5909034766847505,0.6750531255489673,128.95657348632812
49000,193,500,0.386,0.344350732759816,0.42938768026523,149.35817122459412
50000,293,500,0.586,0.5423304138904992,0.6283581517221855,134.504821062088
