step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
57000,347,500,0.694,0.6522544304326852,0.7327872175773242,128.93261051177979
57010,366,500,0.732,0.6915155074925284,0.7689466695091324,121.39884614944458
57020,315,500,0.63,0.5868391297107901,0.671178469471175,137.1470069885254
57030,333,500,0.666,0.6235317332195806,0.7059368934281597,127.18029379844666
57040,362,500,0.724,0.6832216523131053,0.76136251858505,127.4885470867157
57050,283,500,0.566,0.522216352008653,0.6087771983452676,130.30199551582336
57060,269,500,0.538,0.4941760408295009,0.5812444881621506,135.18665385246277
57070,323,500,0.646,0.6031151949321183,0.6866584164568579,126.6824905872345
57080,327,500,0.654,0.6112721337613813,0.6943794837311004,132.2718584537506
57090,349,500,0.698,0.6563715243917267,0.7366091266700354,128.7318079471588
57100,373,500,0.746,0.7060683153605514,0.7821803723222442,121.31640672683716
57110,328,500,0.656,0.6133133706304251,0.6963077483879331,123.39927005767822
57120,352,500,0.704,0.6625538790779746,0.7423352765614168,124.61185693740845
57130,351,500,0.702,0.6604921922645164,0.7404274618489985,125.94063806533813
57140,288,500,0.576,0.5322644098109273,0.6185766481723753,135.55845284461975
57150,352,500,0.704,0.6625538790779746,0.7423352765614168,129.18490743637085
57160,377,500,0.754,0.7144070676180768,0.7897196261682243,126.26502633094788
57170,357,500,0.714,0.6728760546154563,0.7518606086533169,143.9468641281128
57180,313,500,0.626,0.582777860120605,0.6673007360096074,148.69345116615295
57190,286,500,0.572,0.5282430423113503,0.6146590126201995,161.61514329910278
57200,211,500,0.422,0.3794656100557239,0.465723830435097,167.83229565620422
