step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
58000,319,500,0.638,0.5949709219022378,0.6789246833832329,134.24492406845093
59000,265,500,0.53,0.4861897883462646,0.5733527345418813,140.76321005821228
60000,356,500,0.712,0.6708097689717583,0.7499573927711387,131.17392754554749
61000,286,500,0.572,0.5282430423113503,0.6146590126201995,151.6079740524292
62000,330,500,0.66,0.617398269756609,0.7001618523135019,182.4271171092987
63000,349,500,0.698,0.6563715243917267,0.7366091266700354,151.69846200942993
64000,346,500,0.692,0.6501972113746908,0.7308749351094421,140.89609599113464
65000,263,500,0.526,0.4822008460547351,0.569402673781658,174.517813205719
66000,277,500,0.554,0.5101821562121956,0.5969943849864668,181.47708201408386
67000,322,500,0.644,0.6010779467373235,0.6847261631257764,185.0017547607422
68000,299,500,0.598,0.5544335612927798,0.6400720134751632,173.97209644317627
69000,352,500,0.704,0.6625538790779746,0.7423352765614168,180.31105065345764
70000,305,500,0.61,0.566563167828306,0.6517594160948953,175.2577302455902
71000,341,500,0.682,0.639924207823618,0.7213004310311333,161.50037002563477
72000,346,500,0.692,0.6501972113746908,0.7308749351094421,161.84556221961975
73000,315,500,0.63,0.5868391297107901,0.671178469471175,182.43792390823364
74000,338,500,0.676,0.6337707190597581,0.7155454152173639,161.3897671699524
75000,361,500,0.722,0.6811506232701695,0.7594640461021093,183.78836107254028
76000,305,500,0.61,0.566563167828306,0.6517594160948953,192.19700813293457
77000,328,500,0.656,0.6133133706304251,0.6963077483879331,194.22438025474548
78000,326,500,0.652,0.6092317009492663,0.6924504150173392,201.69857716560364
79000,308,500,0.616,0.572638020455507,0.6575930680453232,188.98888540267944
80000,324,500,0.648,0.6051532346640738,0.6885898782507789,187.69687676429749
