step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
202000,348,500,0.696,0.6543125331560312,0.7346986163798547,127.67770385742188
204000,361,500,0.722,0.6811506232701695,0.7594640461021093,130.1609342098236
206000,332,500,0.664,0.6214864254224679,0.7040126996993958,129.62362408638
208000,376,500,0.752,0.7123207803781036,0.787836411882321,130.871191740036
210000,362,500,0.724,0.6832216523131053,0.76136251858505,130.2873661518097
212000,342,500,0.684,0.641977078070737,0.7232170623098906,125.6401720046997
214000,365,500,0.73,0.6894405695613621,0.7670521059144222,126.62483716011047
216000,384,500,0.768,0.7290418422345863,0.8028713622328494,121.61077284812927
218000,352,500,0.704,0.6625538790779746,0.7423352765614168,128.56535005569458
220000,372,500,0.744,0.7039862648123214,0.7802929213445977,121.7355318069458
222000,374,500,0.748,0.7081514126701541,0.7840667765385178,124.20844030380249
224000,369,500,0.738,0.6977463146741062,0.7746243669051839,121.92326498031616
226000,384,500,0.768,0.7290418422345863,0.8028713622328494,122.41828632354736
228000,390,500,0.78,0.7416305610182787,0.8140996526044155,117.24745106697083
230000,376,500,0.752,0.7123207803781036,0.787836411882321,120.3398265838623
232000,374,500,0.748,0.7081514126701541,0.7840667765385178,123.77608013153076
234000,386,500,0.772,0.7332333810348978,0.8066188264842907,122.04315781593323
236000,396,500,0.792,0.7542629655971269,0.8252842571808257,120.04805874824524
238000,399,500,0.798,0.7605963875890438,0.8308593397665378,118.24227809906006
240000,396,500,0.792,0.7542629655971269,0.8252842571808257,119.98579216003418
242000,383,500,0.766,0.7269477983375824,0.8009959046039771,118.50933694839478
244000,396,500,0.792,0.7542629655971269,0.8252842571808257,119.05179476737976
246000,396,500,0.792,0.7542629655971269,0.8252842571808257,119.27497100830078
248000,393,500,0.786,0.7479411410548613,0.819697577145462,120.83269882202148
250000,389,500,0.778,0.7395294756647782,0.8122312364320395,120.26531386375427
