step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
21000,1,500,0.002,0.000353127309584542,0.011240992747195207,169.84046697616577
22000,8,500,0.016,0.008129155320203278,0.03125147541771118,172.8363106250763
23000,4,500,0.008,0.0031152647975077885,0.020387359836901122,172.97048425674438
24000,5,500,0.01,0.004278690781520357,0.023193435378764938,171.39459538459778
25000,1,500,0.002,0.000353127309584542,0.011240992747195207,170.15749192237854
26000,5,500,0.01,0.004278690781520357,0.023193435378764938,171.5193440914154
27000,8,500,0.016,0.008129155320203278,0.03125147541771118,171.50218796730042
28000,9,500,0.018,0.009498085051756854,0.03385204721203399,171.09072923660278
29000,13,500,0.026,0.0152562373229252,0.04397190104437119,169.9667191505432
30000,7,500,0.014,0.006797703071787358,0.02861342614025071,170.39925503730774
31000,10,500,0.02,0.010899065235569357,0.03642056855409787,172.38989186286926
32000,15,500,0.03,0.018263049234083534,0.04890409218496562,168.45247673988342
33000,18,500,0.036,0.022890872735181415,0.05618477326149691,167.84466409683228
34000,33,500,0.066,0.04737823802541255,0.09123993085941157,167.05327200889587
35000,46,500,0.092,0.0696823665014548,0.12053932221976234,168.25286531448364
36000,90,500,0.18,0.14880438031986262,0.21607537553991554,162.42701649665833
37000,45,500,0.09,0.0679421955899675,0.11830999160537325,165.89897847175598
38000,127,500,0.254,0.2178196276777558,0.2939316846394487,156.5149269104004
39000,148,500,0.296,0.2576647234385832,0.33744612092202536,154.2911286354065
40000,141,500,0.282,0.24433577544329282,0.32298855823618094,154.2955117225647
41000,153,500,0.306,0.26721278242267577,0.3477455695673147,153.85524559020996
42000,163,500,0.326,0.2863746168691645,0.36827875037958996,149.64384388923645
43000,189,500,0.378,0.33658005483068504,0.4212803520908554,147.1496274471283
44000,167,500,0.334,0.2940631065718404,0.37646826678041956,153.70124197006226
45000,226,500,0.452,0.4089065586120002,0.49582540476696657,143.87952661514282
46000,205,500,0.41,0.3677343110002554,0.4536381203353072,149.33542156219482
47000,217,500,0.434,0.39122280165473233,0.47778364799134687,147.71394443511963
48000,214,500,0.428,0.3853409873798005,0.47175695768864956,147.88550782203674
49000,229,500,0.458,0.41481382806562594,0.50182663989097,144.05904245376587
50000,212,500,0.424,0.38142335182762455,0.46773559018907274,142.7221806049347
