step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
52000,157,500,0.314,0.2748671671994545,0.35596919089404155,162.24081659317017
53000,101,500,0.202,0.16914066023346225,0.2394036124109562,168.42190790176392
54000,209,500,0.418,0.37555228526740775,0.4616981521716604,157.32942509651184
55000,168,500,0.336,0.29598730030060416,0.3785135745775322,163.23436045646667
56000,181,500,0.362,0.32107531661676714,0.4050290780977621,157.4291169643402
57000,184,500,0.368,0.32688381653354137,0.41112908275861715,159.7343819141388
58000,241,500,0.482,0.43850579699662956,0.5257686892704829,153.24019861221313
59000,268,500,0.536,0.4921784303653343,0.5792725971004405,148.51952624320984
60000,276,500,0.552,0.5081789316318008,0.5950281080409854,142.8503897190094
61000,156,500,0.312,0.27295226189727373,0.3539145946703459,164.41679739952087
62000,261,500,0.522,0.4782146879120214,0.565449828872619,145.56753873825073
63000,277,500,0.554,0.5101821562121956,0.5969943849864668,145.9651551246643
64000,330,500,0.66,0.617398269756609,0.7001618523135019,142.85146260261536
65000,244,500,0.488,0.4444444444444444,0.5317385464002973,150.6578664779663
66000,304,500,0.608,0.5645397124401949,0.6498133699571299,152.20855593681335
67000,303,500,0.606,0.5625170013722456,0.6478665794992029,142.15754079818726
68000,328,500,0.656,0.6133133706304251,0.6963077483879331,139.69195699691772
69000,268,500,0.536,0.4921784303653343,0.5792725971004405,147.85308742523193
70000,309,500,0.618,0.5746644739023564,0.6595361161243504,151.94563007354736
71000,334,500,0.668,0.6255778658042676,0.707860262369349,145.22536969184875
72000,342,500,0.684,0.641977078070737,0.7232170623098906,142.9314088821411
73000,368,500,0.736,0.6956683729184137,0.7727328071349999,141.39137077331543
74000,383,500,0.766,0.7269477983375824,0.8009959046039771,136.9412989616394
75000,368,500,0.736,0.6956683729184137,0.7727328071349999,142.4875864982605
76000,340,500,0.68,0.6378721940483771,0.7193829432804977,149.75978684425354
77000,375,500,0.75,0.7102355648988187,0.7859521258357297,139.05685925483704
78000,373,500,0.746,0.7060683153605514,0.7821803723222442,128.16785883903503
79000,363,500,0.726,0.6852936486809578,0.7632600237430738,134.19708943367004
80000,380,500,0.76,0.7206724477826185,0.7953627505813117,126.81253623962402
