step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
1000,0,500,0.0,0.0,0.007624618530903363,169.92340445518494
2000,0,500,0.0,0.0,0.007624618530903363,171.16954612731934
3000,0,500,0.0,0.0,0.007624618530903363,171.29165172576904
4000,0,500,0.0,0.0,0.007624618530903363,170.91689467430115
5000,0,500,0.0,0.0,0.007624618530903363,170.06430411338806
6000,2,500,0.004,0.0010976075412372681,0.014466014041418871,171.19526076316833
7000,0,500,0.0,0.0,0.007624618530903363,170.08644223213196
8000,3,500,0.006,0.002042559297638913,0.017490563810893606,170.80990481376648
9000,1,500,0.002,0.000353127309584542,0.011240992747195207,171.46379446983337
10000,0,500,0.0,0.0,0.007624618530903363,170.84595036506653
11000,0,500,0.0,0.0,0.007624618530903363,172.16827154159546
12000,1,500,0.002,0.000353127309584542,0.011240992747195207,170.57608580589294
13000,2,500,0.004,0.0010976075412372681,0.014466014041418871,170.0009388923645
14000,5,500,0.01,0.004278690781520357,0.023193435378764938,173.20453143119812
15000,7,500,0.014,0.006797703071787358,0.02861342614025071,171.03655433654785
16000,10,500,0.02,0.010899065235569357,0.03642056855409787,169.76437282562256
17000,4,500,0.008,0.0031152647975077885,0.020387359836901122,169.5002405643463
18000,1,500,0.002,0.000353127309584542,0.011240992747195207,170.23142099380493
19000,7,500,0.014,0.006797703071787358,0.02861342614025071,170.88668060302734
20000,10,500,0.02,0.010899065235569357,0.03642056855409787,171.23059821128845
