step,action_mse,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
5000,0.09482046216726303,0.03801443427801132,0.07892781496047974,0.08728412538766861,0.09414836019277573,0.09530682861804962,0.09727823734283447,0.10079547017812729,0.10285525023937225,0.10196761041879654,167.64538097381592
10000,0.06756781786680222,0.01584351807832718,0.055625900626182556,0.05662670359015465,0.06068452447652817,0.06554578244686127,0.06959055364131927,0.07425660640001297,0.07656124979257584,0.0816512405872345,162.17375874519348
15000,0.06203871965408325,0.013990148901939392,0.05037744715809822,0.05390162393450737,0.05986040085554123,0.06288357824087143,0.06771178543567657,0.06682176887989044,0.06676933169364929,0.06798383593559265,162.82035636901855
20000,0.04923129081726074,0.007898792624473572,0.043244488537311554,0.045203227549791336,0.04691126570105553,0.04798410087823868,0.05177835002541542,0.05163826048374176,0.053448814898729324,0.05364183336496353,162.893714427948
25000,0.04971408098936081,0.005070008337497711,0.04086725786328316,0.04453956335783005,0.045956358313560486,0.0510101392865181,0.0531860776245594,0.0542944073677063,0.055400729179382324,0.05245811119675636,162.1273214817047
30000,0.04501725733280182,0.00451284646987915,0.0362691655755043,0.039684783667325974,0.0410248339176178,0.04334406927227974,0.04788286238908768,0.05107919126749039,0.05087363347411156,0.049979548901319504,161.24688386917114
35000,0.05786973237991333,0.013144120573997498,0.044601984322071075,0.05176751688122749,0.05740590766072273,0.057733215391635895,0.06439970433712006,0.06250918656587601,0.06530356407165527,0.05923677980899811,161.01715850830078
40000,0.04905704781413078,0.004949294030666351,0.04187091067433357,0.046719565987586975,0.04763811081647873,0.0485796257853508,0.054468248039484024,0.05273286625742912,0.05335906520485878,0.047088004648685455,162.07918906211853
45000,0.044916924089193344,0.004109546542167664,0.039149075746536255,0.04229624196887016,0.0429900661110878,0.0438186414539814,0.04755546525120735,0.04897960275411606,0.049274932593107224,0.04527135565876961,161.57373976707458
50000,0.04886830598115921,0.00570523738861084,0.04114094376564026,0.04689732939004898,0.04722900316119194,0.04706740751862526,0.053015124052762985,0.05421449989080429,0.05338852480053902,0.04799360781908035,161.02187609672546
55000,0.04981712996959686,0.004225410521030426,0.03812028840184212,0.04315326362848282,0.04595484957098961,0.05174799636006355,0.05840707942843437,0.05726984888315201,0.05478612333536148,0.04909758269786835,162.2464623451233
60000,0.049967970699071884,0.005383007228374481,0.03903435170650482,0.045886874198913574,0.04635385796427727,0.04785117879509926,0.0544440783560276,0.05691459774971008,0.05716678872704506,0.0520920529961586,162.65338444709778
65000,0.05181724578142166,0.005871295928955078,0.04118524119257927,0.046031221747398376,0.05046086758375168,0.05046295374631882,0.05558812618255615,0.058522772043943405,0.05868816748261452,0.053598616272211075,161.3245894908905
70000,0.05225106328725815,0.005236759781837463,0.038997288793325424,0.04519682005047798,0.04895256459712982,0.052992887794971466,0.0587536059319973,0.05781330540776253,0.05992891639471054,0.055373113602399826,161.65223693847656
75000,0.048117734491825104,0.003774195909500122,0.037910833954811096,0.04447708651423454,0.04554044082760811,0.04768473654985428,0.053935706615448,0.05302773416042328,0.05387813225388527,0.048487190157175064,159.52085518836975
80000,0.050706882029771805,0.004341423511505127,0.03863747790455818,0.044856783002614975,0.04754490405321121,0.051206324249506,0.058309171348810196,0.056583575904369354,0.05649138614535332,0.0520254485309124,159.36132049560547
85000,0.05444002524018288,0.0044717565178871155,0.03887738659977913,0.04560136795043945,0.04899916797876358,0.0561220608651638,0.06500048190355301,0.06281618028879166,0.06050977110862732,0.05759378895163536,160.30513310432434
90000,0.052760206162929535,0.004640750586986542,0.03568241745233536,0.042749516665935516,0.045937955379486084,0.05128459259867668,0.06277921050786972,0.06468194723129272,0.06245581805706024,0.05651022121310234,159.43758058547974
95000,0.05988617613911629,0.006572604179382324,0.04290914908051491,0.04916923865675926,0.05460323765873909,0.05928808078169823,0.07095762342214584,0.07122009247541428,0.0692995935678482,0.0616423673927784,159.30022287368774
100000,0.05630094185471535,0.0041483864188194275,0.04108965024352074,0.04905414581298828,0.050430648028850555,0.05529455840587616,0.06583839654922485,0.06584647297859192,0.06309642642736435,0.05975719913840294,160.01005005836487
105000,0.05559603497385979,0.004022747278213501,0.04119563847780228,0.04708161577582359,0.05142315477132797,0.053806617856025696,0.06444044411182404,0.06533756107091904,0.06398098170757294,0.057502247393131256,160.49212789535522
110000,0.0570780485868454,0.0038049668073654175,0.04108051583170891,0.047972265630960464,0.0525953471660614,0.05849878117442131,0.06914304941892624,0.06537528336048126,0.061728622764348984,0.06023053452372551,160.16655111312866
115000,0.05811576545238495,0.004531249403953552,0.04087553918361664,0.04888177663087845,0.05323460325598717,0.057585105299949646,0.06756451725959778,0.07138865441083908,0.06636837869882584,0.059027545154094696,160.39706873893738
120000,0.05378621444106102,0.0040353164076805115,0.037328384816646576,0.04388846084475517,0.04759838432073593,0.05222874507308006,0.06476490199565887,0.065676249563694,0.06215798854827881,0.05664658173918724,160.66680645942688
125000,0.058913588523864746,0.0044698044657707214,0.04307226464152336,0.04968436807394028,0.054084911942481995,0.060620903968811035,0.06942317634820938,0.06859827041625977,0.06440294533967972,0.06142185628414154,160.65351819992065
130000,0.06165790557861328,0.005236499011516571,0.04423182085156441,0.05282888934016228,0.05584994703531265,0.06321467459201813,0.07033640146255493,0.07124947756528854,0.06998971849679947,0.06556232273578644,161.77919745445251
135000,0.061541151255369186,0.00625697523355484,0.04473399743437767,0.05124392732977867,0.05597398430109024,0.06624007225036621,0.07490631937980652,0.07164670526981354,0.06574905663728714,0.0618351474404335,161.9355115890503
140000,0.05992959812283516,0.00486379861831665,0.0438561886548996,0.05149606242775917,0.05617532879114151,0.062065787613391876,0.07033375650644302,0.06769611686468124,0.0656694695353508,0.06214405968785286,161.54525351524353
145000,0.060125142335891724,0.004956133663654327,0.04515908285975456,0.051055192947387695,0.05680825561285019,0.06248168647289276,0.07148735225200653,0.06882989406585693,0.06380947679281235,0.061370205134153366,160.79520201683044
150000,0.05849544703960419,0.004570849239826202,0.04217567294836044,0.0477384477853775,0.0563163124024868,0.05972347781062126,0.06778420507907867,0.06728790700435638,0.0657227635383606,0.06121481582522392,160.49634504318237
