step,action_mse,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
5000,0.1015177071094513,0.037624239921569824,0.08768849074840546,0.09261475503444672,0.09927959740161896,0.09715823084115982,0.10656347870826721,0.108170285820961,0.10951913148164749,0.11114771664142609,109.738352060318
10000,0.08160705864429474,0.019025444984436035,0.06982391327619553,0.0713781788945198,0.07117928564548492,0.07488058507442474,0.08796323835849762,0.08635242283344269,0.09319089353084564,0.09808796644210815,118.56179094314575
15000,0.05953142046928406,0.006419271230697632,0.05239713191986084,0.0533018484711647,0.05746782571077347,0.06432154029607773,0.07216162979602814,0.05649133026599884,0.05866708233952522,0.061442986130714417,118.24833703041077
20000,0.05426660180091858,0.005493879318237305,0.051974259316921234,0.05050015076994896,0.05251598358154297,0.05124663561582565,0.05863870680332184,0.05531039088964462,0.060030147433280945,0.053916532546281815,105.6329698562622
25000,0.05997641012072563,0.013872295618057251,0.056534357368946075,0.05400678515434265,0.05719959735870361,0.05459757149219513,0.06824743002653122,0.06788904964923859,0.06425940990447998,0.057077065110206604,100.02392506599426
30000,0.06455326825380325,0.006997734308242798,0.05940162390470505,0.06094857677817345,0.06067362427711487,0.06648195534944534,0.07492786645889282,0.0718703493475914,0.062138549983501434,0.05998358130455017,98.44165897369385
35000,0.05135383456945419,0.004355967044830322,0.06032946705818176,0.0601004883646965,0.04816605895757675,0.04392749071121216,0.056671060621738434,0.04575583338737488,0.04795905947685242,0.04792120307683945,97.71053194999695
40000,0.046247560530900955,0.007841885089874268,0.045885637402534485,0.03920193389058113,0.04382331296801567,0.046206288039684296,0.04948057979345322,0.048526182770729065,0.0479445606470108,0.048911988735198975,98.39230680465698
45000,0.04368678107857704,0.004572182893753052,0.04469103366136551,0.044483732432127,0.04518968611955643,0.04049824923276901,0.04700303450226784,0.04211992770433426,0.04576684534549713,0.03974173218011856,98.48940110206604
50000,0.04253090173006058,0.004293590784072876,0.046304527670145035,0.04315653815865517,0.04529944807291031,0.04079139605164528,0.04539375752210617,0.039434149861335754,0.042806558310985565,0.03706084191799164,98.24985313415527
