step,action_mse,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
5000,0.09289956837892532,0.0357944518327713,0.07763111591339111,0.08554865419864655,0.09202465415000916,0.09179912507534027,0.09489337354898453,0.09884325414896011,0.10173477977514267,0.10072159767150879,158.6678433418274
10000,0.06844308227300644,0.012931659817695618,0.055580005049705505,0.05845566466450691,0.062063250690698624,0.06764747202396393,0.07266354560852051,0.07490658015012741,0.07662389427423477,0.07960425317287445,160.0999994277954
15000,0.05499448627233505,0.005890212953090668,0.046137284487485886,0.04801410809159279,0.05242447555065155,0.05518544837832451,0.05845451354980469,0.05949276685714722,0.06095532327890396,0.05929198116064072,160.35038471221924
20000,0.053092110902071,0.004907257854938507,0.044830795377492905,0.048100125044584274,0.051470134407281876,0.05323810502886772,0.055796898901462555,0.05696789547801018,0.05771172419190407,0.056621234863996506,157.9135603904724
25000,0.06434764713048935,0.01336272805929184,0.05510949343442917,0.05971061438322067,0.06385806947946548,0.06400670856237411,0.06670324504375458,0.07026441395282745,0.06962615996599197,0.06550246477127075,159.5956642627716
30000,0.05156359821557999,0.0054692551493644714,0.0430183969438076,0.04647214710712433,0.04927721247076988,0.05148252472281456,0.05538325011730194,0.05646081641316414,0.05696099251508713,0.053453415632247925,158.61460518836975
35000,0.04969925433397293,0.005544394254684448,0.04034248739480972,0.04460180923342705,0.04807766526937485,0.048531997948884964,0.05394800007343292,0.054526444524526596,0.05452530458569527,0.05304032564163208,157.80980944633484
40000,0.047496210783720016,0.007001064717769623,0.039004866033792496,0.043715864419937134,0.04588141292333603,0.04635654389858246,0.05075020715594292,0.05213368311524391,0.05185435339808464,0.05027277022600174,159.0279529094696
45000,0.043915316462516785,0.0037534385919570923,0.037551138550043106,0.04072427749633789,0.04355942830443382,0.04505239054560661,0.04630085453391075,0.045755643397569656,0.04771421104669571,0.04466458037495613,158.4804985523224
50000,0.04376136139035225,0.0037156343460083008,0.036289479583501816,0.04013438895344734,0.041752178221940994,0.043442513793706894,0.048751797527074814,0.04932805150747299,0.046981580555438995,0.04341089725494385,157.86547923088074
55000,0.04950995743274689,0.00728500634431839,0.04324137046933174,0.046757519245147705,0.04785430058836937,0.04784940928220749,0.05301844701170921,0.054385628551244736,0.05379414185881615,0.0491788424551487,158.53543782234192
60000,0.04741824418306351,0.004689335823059082,0.04067085310816765,0.04519907012581825,0.04663650318980217,0.0470745824277401,0.053344760090112686,0.051021866500377655,0.04972336068749428,0.04567493498325348,158.61674618721008
65000,0.04726335406303406,0.0042083486914634705,0.03775348886847496,0.043966181576251984,0.045617569237947464,0.04701186716556549,0.05313171073794365,0.05181679502129555,0.05162747576832771,0.04718172177672386,158.80330801010132
70000,0.04629884287714958,0.0055270567536354065,0.03646843880414963,0.04164692759513855,0.04400601610541344,0.04497398063540459,0.05359494686126709,0.05310522019863129,0.05063251778483391,0.04596268758177757,159.22992825508118
75000,0.045965831726789474,0.003872096538543701,0.036799173802137375,0.041444726288318634,0.04329200088977814,0.0451967753469944,0.051307205110788345,0.050950367003679276,0.05128159373998642,0.04745481163263321,158.48600816726685
80000,0.04584450274705887,0.0036479681730270386,0.03591061010956764,0.04095442220568657,0.0438530407845974,0.04553550109267235,0.0523894838988781,0.05172502622008324,0.05080005154013634,0.045587874948978424,158.4184181690216
85000,0.048965934664011,0.005806080996990204,0.04218569025397301,0.045902229845523834,0.04697109013795853,0.04733049497008324,0.05254877731204033,0.054287999868392944,0.053748760372400284,0.04875243082642555,158.38781356811523
90000,0.04717748239636421,0.00477416068315506,0.03772643208503723,0.043083760887384415,0.043791674077510834,0.04648078605532646,0.05428669601678848,0.05213051661849022,0.05084456875920296,0.0490754209458828,159.5081808567047
95000,0.047396399080753326,0.004677020013332367,0.03836563602089882,0.041427914053201675,0.04342300444841385,0.04683336988091469,0.05401978641748428,0.0530799962580204,0.0525222085416317,0.049499280750751495,158.7379424571991
100000,0.04711305350065231,0.006401494145393372,0.037200506776571274,0.04351670295000076,0.0448729507625103,0.046642083674669266,0.05131014809012413,0.05272261053323746,0.052282143384218216,0.0483572892844677,159.39691877365112
105000,0.05147039145231247,0.007074691355228424,0.03914570063352585,0.04369443655014038,0.04701163247227669,0.05112031474709511,0.061127666383981705,0.060818519443273544,0.05722934007644653,0.05161554366350174,159.23883318901062
110000,0.048298660665750504,0.003504633903503418,0.0357159785926342,0.04210076853632927,0.04504704847931862,0.048306312412023544,0.05619580298662186,0.05561039596796036,0.05326550081372261,0.050147466361522675,160.33985090255737
115000,0.04795807600021362,0.004992939531803131,0.03763573244214058,0.04122648388147354,0.044604863971471786,0.04668358713388443,0.05636167153716087,0.0549011193215847,0.05304086208343506,0.049210283905267715,157.4481794834137
120000,0.051612433046102524,0.004967585206031799,0.038808636367321014,0.04426593333482742,0.04882051423192024,0.052343711256980896,0.06242746859788895,0.06023747846484184,0.05612898990511894,0.04986676946282387,158.7809522151947
125000,0.049413617700338364,0.004164569079875946,0.03684014827013016,0.04253099113702774,0.04630551114678383,0.049669619649648666,0.05719141662120819,0.05768794193863869,0.05523692071437836,0.04984637722373009,158.8401494026184
130000,0.05220380797982216,0.0048100873827934265,0.03881877660751343,0.0446796715259552,0.04973702132701874,0.052411094307899475,0.06179114803671837,0.060772307217121124,0.057816632091999054,0.05160381272435188,157.83495950698853
