step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
4000,0,50,0.0,0.0,0.07135003417431873,800.9097311496735
8000,0,50,0.0,0.0,0.07135003417431873,799.3396661281586
12000,0,50,0.0,0.0,0.07135003417431873,817.1499757766724
16000,1,50,0.02,0.0035391680889764604,0.10495686471836953,817.6199660301208
20000,0,50,0.0,0.0,0.07135003417431873,841.9854528903961
24000,3,50,0.06,0.020614596364630478,0.16217343370877002,781.5638358592987
28000,0,50,0.0,0.0,0.07135003417431873,796.94202709198
32000,0,50,0.0,0.0,0.07135003417431873,793.8193860054016
36000,0,50,0.0,0.0,0.07135003417431873,794.6023898124695
40000,1,50,0.02,0.0035,0.105,
