step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
80000,13,500,0.026,0.0152562373229252,0.04397190104437119,368.69512486457825
90000,17,500,0.034,0.02133433944461342,0.053771805026188516,355.0685498714447
100000,14,500,0.028,0.01675081930862122,0.04644682058455155,355.6335997581482
110000,15,500,0.03,0.018263049234083534,0.04890409218496562,370.4916729927063
120000,17,500,0.034,0.02133433944461342,0.053771805026188516,354.1328341960907
130000,15,500,0.03,0.018263049234083534,0.04890409218496562,356.94508600234985
140000,14,500,0.028,0.01675081930862122,0.04644682058455155,355.18286633491516
150000,20,500,0.04,0.026040593951356387,0.06097405509707471,352.41672945022583
160000,21,500,0.042,0.027632099334746148,0.06335205123956134,354.6769070625305
170000,23,500,0.046,0.030844883399787512,0.06807827022627275,351.3295865058899
180000,20,500,0.04,0.026040593951356387,0.06097405509707471,351.50016689300537
190000,22,500,0.044,0.029233737680341678,0.06571991441984218,353.9784460067749
200000,19,500,0.038,0.024459922123289107,0.0585852253992656,267.02734112739563
